LOG;ADD;ADC Config Start;;;;
OUTPUT;ADC-RST-1;0;;;;reset
WAIT;;20;;;;
OUTPUT;ADC-RST-1;1;;;;
WAIT;;20;;;;
REG;ADC1;0;24;;;
WAIT;;50;;;;
REG;ADC1;26;8;;;
WAIT;;50;;;;
REG_MASK;ADC1;500;0;F;;JESD Low Line Rate Selection
REG_MASK;ADC1;520;7;1F;;JESD number of lanes
REG_MASK;ADC1;520;0;80;;Scrambler disable
REG;ADC1;521;1;;;F
REG;ADC1;523;0;;;1 converter
REG;ADC1;525;20;;;subclass 1 ----------------
REG_MASK;ADC1;525;F;1F;;Total num of bits per sample
REG_MASK;ADC1;524;B;1F;;12 bit resolution
REG_MASK;ADC1;524;FF;C0;;Control bits (3)
REG_MASK;ADC1;503;2;2;;Disable frame alignment chars
REG_MASK;ADC1;622;1;3;;Offset binary data format
REG;ADC1;1612;4;;;
REG;ADC1;1613;41;;;
WAIT;;50;;;;
REG;ADC1;681;10;;;Enable jtx clock
WAIT;;5;;;;
REG_BIT;ADC1;150A;1;0;;LVDS sysref
REG;ADC1;1627;40;;;KNOWN_SYSREF_PERIOD
REG;ADC1;1628;0;;;KNOWN_SYSREF_PERIOD
REG;ADC1;1629;0;;;KNOWN_SYSREF_PERIOD
REG;ADC1;162D;0;;;SAMPLE_CLOCK_PERIOD
REG;ADC1;162E;0;;;SAMPLE_CLOCK_PERIOD
REG;ADC1;162F;FA;;;SAMPLE_CLOCK_PERIOD
REG;ADC1;1630;0;;;SAMPLE_CLOCK_PERIOD
REG;ADC1;1521;64;;;SYSREF_x Pulses to Ignore
REG;ADC1;162A;E8;;;SYSREF_x Pulses to Average
REG;ADC1;162B;3;;;SYSREF_x Pulses to Average
REG;ADC1;1521;100;;;Ignore x sysref pulse
REG;ADC1;1516;2;;;Enable delays
REG;ADC1;1517;0;;;Fine delay
REG;ADC1;1518;0;;;Super fine delay
REG_MASK;ADC1;1621;9;F;;MCS Mode
REG_BIT;ADC1;1636;1;0;;MCS Phase Slip Mode
REG_BIT;ADC1;1622;1;1;;Enable MCS to Lock to Internal SYSREF_x
REG_BIT;ADC1;693;1;0;;SYSREF_x Resynchronization Mode Enable
REG_BIT;ADC1;1600;1;0;;USER_CTRL_TRANSFER
REG_BIT;ADC1;570;0;0;;power down jest pll
WAIT;;50;;;;
REG_BIT;ADC1;570;1;0;;power up jest pll
WAIT;;100;;;;
REG_READ;ADC1;501;;;;
LOG;ADD;Read req 501 = ;LAST_VAL;;;
LAST_VAL;BIT;7;;;;
LOG;ADD;Lanes Lock = ;LAST_VAL;;;
LOG;ADD;ADC Config Done;;;;
